site,FD_index,value,Elev
TAM_06,FDiv,0.518402335,215
TAM_06,FDiv,0.535385901,215
TAM_06,FDiv,0.539266351,215
TAM_06,FDiv,0.546206459,215
TAM_06,FDiv,0.547742925,215
TAM_06,FDiv,0.54826098,215
TAM_06,FDiv,0.54902533,215
TAM_06,FDiv,0.550162061,215
TAM_06,FDiv,0.550893177,215
TAM_06,FDiv,0.555499789,215
TAM_06,FDiv,0.559956129,215
TAM_06,FDiv,0.563746522,215
TAM_06,FDiv,0.565132109,215
TAM_06,FDiv,0.567508273,215
TAM_06,FDiv,0.568888124,215
TAM_06,FDiv,0.569132171,215
TAM_06,FDiv,0.570987285,215
TAM_06,FDiv,0.571183084,215
TAM_06,FDiv,0.571461607,215
TAM_06,FDiv,0.575262986,215
TAM_06,FDiv,0.576408385,215
TAM_06,FDiv,0.576877956,215
TAM_06,FDiv,0.577007204,215
TAM_06,FDiv,0.577232588,215
TAM_06,FDiv,0.577291905,215
TAM_06,FDiv,0.577474113,215
TAM_06,FDiv,0.578872468,215
TAM_06,FDiv,0.579568643,215
TAM_06,FDiv,0.579754525,215
TAM_06,FDiv,0.580485407,215
TAM_06,FDiv,0.58080222,215
TAM_06,FDiv,0.581444641,215
TAM_06,FDiv,0.582766199,215
TAM_06,FDiv,0.582979945,215
TAM_06,FDiv,0.582993844,215
TAM_06,FDiv,0.583986021,215
TAM_06,FDiv,0.584911517,215
TAM_06,FDiv,0.585178421,215
TAM_06,FDiv,0.58645833,215
TAM_06,FDiv,0.586661711,215
TAM_06,FDiv,0.587503896,215
TAM_06,FDiv,0.587680995,215
TAM_06,FDiv,0.588235786,215
TAM_06,FDiv,0.589201753,215
TAM_06,FDiv,0.590327742,215
TAM_06,FDiv,0.590646353,215
TAM_06,FDiv,0.590708799,215
TAM_06,FDiv,0.59075177,215
TAM_06,FDiv,0.590778578,215
TAM_06,FDiv,0.592236078,215
TAM_06,FDiv,0.592244525,215
TAM_06,FDiv,0.59228949,215
TAM_06,FDiv,0.592908861,215
TAM_06,FDiv,0.593261249,215
TAM_06,FDiv,0.593811841,215
TAM_06,FDiv,0.594552308,215
TAM_06,FDiv,0.595436665,215
TAM_06,FDiv,0.59553502,215
TAM_06,FDiv,0.595558688,215
TAM_06,FDiv,0.595712323,215
TAM_06,FDiv,0.595815461,215
TAM_06,FDiv,0.595837965,215
TAM_06,FDiv,0.595878848,215
TAM_06,FDiv,0.595953278,215
TAM_06,FDiv,0.595994799,215
TAM_06,FDiv,0.596383644,215
TAM_06,FDiv,0.596728336,215
TAM_06,FDiv,0.59708473,215
TAM_06,FDiv,0.597248374,215
TAM_06,FDiv,0.597365137,215
TAM_06,FDiv,0.59804834,215
TAM_06,FDiv,0.598176943,215
TAM_06,FDiv,0.598211273,215
TAM_06,FDiv,0.598467588,215
TAM_06,FDiv,0.598580627,215
TAM_06,FDiv,0.598940329,215
TAM_06,FDiv,0.599183412,215
TAM_06,FDiv,0.599520505,215
TAM_06,FDiv,0.59975008,215
TAM_06,FDiv,0.599777242,215
TAM_06,FDiv,0.600292294,215
TAM_06,FDiv,0.600848434,215
TAM_06,FDiv,0.600959938,215
TAM_06,FDiv,0.601004815,215
TAM_06,FDiv,0.601691521,215
TAM_06,FDiv,0.601832677,215
TAM_06,FDiv,0.601869443,215
TAM_06,FDiv,0.602214039,215
TAM_06,FDiv,0.602599761,215
TAM_06,FDiv,0.603154346,215
TAM_06,FDiv,0.603320988,215
TAM_06,FDiv,0.603330792,215
TAM_06,FDiv,0.603456968,215
TAM_06,FDiv,0.604639739,215
TAM_06,FDiv,0.604728621,215
TAM_06,FDiv,0.60475561,215
TAM_06,FDiv,0.605401685,215
TAM_06,FDiv,0.605499917,215
TAM_06,FDiv,0.605586638,215
TAM_06,FDiv,0.605658022,215
TAM_06,FDiv,0.605758591,215
TAM_06,FDiv,0.606223455,215
TAM_06,FDiv,0.606237026,215
TAM_06,FDiv,0.60650565,215
TAM_06,FDiv,0.606567166,215
TAM_06,FDiv,0.606618151,215
TAM_06,FDiv,0.606757442,215
TAM_06,FDiv,0.607005857,215
TAM_06,FDiv,0.60702876,215
TAM_06,FDiv,0.607225951,215
TAM_06,FDiv,0.607308696,215
TAM_06,FDiv,0.607590087,215
TAM_06,FDiv,0.607627042,215
TAM_06,FDiv,0.607851364,215
TAM_06,FDiv,0.607971685,215
TAM_06,FDiv,0.60828578,215
TAM_06,FDiv,0.608323101,215
TAM_06,FDiv,0.60841087,215
TAM_06,FDiv,0.608536178,215
TAM_06,FDiv,0.608695134,215
TAM_06,FDiv,0.608809587,215
TAM_06,FDiv,0.608827796,215
TAM_06,FDiv,0.608937189,215
TAM_06,FDiv,0.608983852,215
TAM_06,FDiv,0.609237844,215
TAM_06,FDiv,0.609272307,215
TAM_06,FDiv,0.609359171,215
TAM_06,FDiv,0.609467291,215
TAM_06,FDiv,0.609501288,215
