site,fdar_type,replicate,No.pixels,convhull,FDiv,FRic,area_ha,Model,Elev
TAM_06,scn,1000,7,0.009768974,0.659517145,0,0.0028,Observed values,215
TAM_06,scn,1000,12,0.42750527,0.692227313,0.00108,0.0048,Observed values,215
TAM_06,scn,1000,14,0.636600562,0.725372587,0.00161,0.0056,Observed values,215
TAM_06,scn,1000,21,3.998600325,0.712896179,0.01027,0.0084,Observed values,215
TAM_06,scn,1000,32,12.55391227,0.717115895,0.03231,0.0128,Observed values,215
TAM_06,scn,1000,44,13.7698261,0.705032662,0.03544,0.0176,Observed values,215
TAM_06,scn,1000,69,19.90980826,0.740533034,0.05126,0.0276,Observed values,215
TAM_06,scn,1000,94,28.16268825,0.735333606,0.07252,0.0376,Observed values,215
TAM_06,scn,1000,123,33.60987184,0.721847353,0.08655,0.0492,Observed values,215
TAM_06,scn,1000,152,38.34389756,0.706927122,0.09874,0.0608,Observed values,215
TAM_06,scn,1000,184,39.71897935,0.705442115,0.10229,0.0736,Observed values,215
TAM_06,scn,1000,223,46.6663156,0.702967163,0.12018,0.0892,Observed values,215
TAM_06,scn,1000,267,51.30113004,0.705223397,0.13212,0.1068,Observed values,215
TAM_06,scn,1000,316,52.87628429,0.701014296,0.13618,0.1264,Observed values,215
TAM_06,scn,1000,368,63.70688255,0.701291823,0.16408,0.1472,Observed values,215
TAM_06,scn,1000,426,66.59835797,0.700446946,0.17152,0.1704,Observed values,215
TAM_06,scn,1000,476,73.62502921,0.698689566,0.18962,0.1904,Observed values,215
TAM_06,scn,1000,526,83.87361952,0.700139302,0.21602,0.2104,Observed values,215
TAM_06,scn,1000,585,98.68836307,0.700888631,0.25418,0.234,Observed values,215
TAM_06,scn,1000,652,105.109272,0.699110919,0.27072,0.2608,Observed values,215
TAM_06,scn,1000,721,107.6636825,0.700072125,0.2773,0.2884,Observed values,215
TAM_06,scn,1000,798,143.9625781,0.700670121,0.37081,0.3192,Observed values,215
TAM_06,scn,1000,875,171.4895137,0.700839628,0.44171,0.35,Observed values,215
TAM_06,scn,1000,960,174.4461383,0.699532273,0.44933,0.384,Observed values,215
TAM_06,scn,1000,1037,181.9625188,0.701329478,0.46869,0.4148,Observed values,215
TAM_06,scn,1000,1134,182.872496,0.70271569,0.47103,0.4536,Observed values,215
TAM_06,scn,1000,1216,191.1257665,0.704724753,0.49229,0.4864,Observed values,215
TAM_06,scn,1000,1271,192.5126565,0.707534024,0.49587,0.5084,Observed values,215
TAM_06,scn,1000,1327,192.5557166,0.710135497,0.49598,0.5308,Observed values,215
TAM_06,scn,1000,1391,197.8466272,0.713493038,0.50961,0.5564,Observed values,215
TAM_06,scn,1000,1449,198.0284202,0.715177466,0.51007,0.5796,Observed values,215
TAM_06,scn,1000,1503,199.0163334,0.716336756,0.51262,0.6012,Observed values,215
TAM_06,scn,1000,1569,199.0180908,0.717686135,0.51262,0.6276,Observed values,215
TAM_06,scn,1000,1630,200.5025693,0.718851334,0.51645,0.652,Observed values,215
TAM_06,scn,1000,1688,203.6613248,0.720385422,0.52458,0.6752,Observed values,215
TAM_06,scn,1000,1743,204.4386678,0.720454735,0.52659,0.6972,Observed values,215
TAM_06,scn,1000,1806,205.0079146,0.720391094,0.52805,0.7224,Observed values,215
TAM_06,scn,1000,1874,205.022959,0.721151398,0.52809,0.7496,Observed values,215
TAM_06,scn,1000,1942,205.022959,0.722219355,0.52809,0.7768,Observed values,215
TAM_06,scn,1000,2007,205.6391511,0.722832795,0.52968,0.8028,Observed values,215
TAM_06,scn,1000,2072,205.7191735,0.723862516,0.52988,0.8288,Observed values,215
TAM_06,scn,1000,2143,205.9952515,0.724709531,0.5306,0.8572,Observed values,215
TAM_06,scn,1000,2207,206.3186382,0.725454148,0.53143,0.8828,Observed values,215
TAM_06,scn,1000,2267,206.5939369,0.725844589,0.53214,0.9068,Observed values,215
TAM_06,scn,1000,2337,208.6343503,0.725943925,0.53739,0.9348,Observed values,215
TAM_06,scn,1000,2413,215.0718084,0.727162921,0.55398,0.9652,Observed values,215
TAM_06,scn,1000,2486,215.7326499,0.728035604,0.55568,0.9944,Observed values,215
TAM_06,scn,1000,2575,220.3905355,0.729144643,0.56768,1.03,Observed values,215
TAM_06,scn,1000,2663,220.4862963,0.728789695,0.56792,1.0652,Observed values,215
TAM_06,scn,1000,2741,220.8023039,0.728097002,0.56874,1.0964,Observed values,215
TAM_06,scn,1000,2826,221.1675085,0.727288086,0.56968,1.1304,Observed values,215
TAM_06,scn,1000,2902,221.4464876,0.727110215,0.5704,1.1608,Observed values,215
TAM_06,scn,1000,2976,222.1381542,0.727427686,0.57218,1.1904,Observed values,215
TAM_06,scn,1000,3046,226.307139,0.727235982,0.58292,1.2184,Observed values,215
TAM_06,scn,1000,3132,227.269911,0.726128568,0.5854,1.2528,Observed values,215
TAM_06,scn,1000,3229,236.8303021,0.724531491,0.61002,1.2916,Observed values,215
TAM_06,scn,1000,3324,237.7551005,0.723548217,0.61241,1.3296,Observed values,215
TAM_06,scn,1000,3426,240.0883019,0.722663551,0.61842,1.3704,Observed values,215
TAM_06,scn,1000,3525,246.8481786,0.72151473,0.63583,1.41,Observed values,215
TAM_06,scn,1000,3630,249.4154758,0.720766857,0.64244,1.452,Observed values,215
TAM_06,scn,1000,3733,253.5838577,0.719986173,0.65318,1.4932,Observed values,215
TAM_06,scn,1000,3846,262.2935896,0.719372171,0.67561,1.5384,Observed values,215
TAM_06,scn,1000,3961,266.4290308,0.719171762,0.68627,1.5844,Observed values,215
TAM_06,scn,1000,4072,271.6619515,0.719119789,0.69975,1.6288,Observed values,215
TAM_06,scn,1000,4179,276.1246699,0.719413462,0.71124,1.6716,Observed values,215
TAM_06,scn,1000,4276,277.26738,0.71895586,0.71418,1.7104,Observed values,215
TAM_06,scn,1000,4363,285.1760803,0.71832346,0.73456,1.7452,Observed values,215
TAM_06,scn,1000,4454,290.6740082,0.717629563,0.74872,1.7816,Observed values,215
TAM_06,scn,1000,4545,292.2813077,0.717268774,0.75286,1.818,Observed values,215
TAM_06,scn,1000,4636,292.4150658,0.717080512,0.7532,1.8544,Observed values,215
TAM_06,scn,1000,4717,292.422759,0.717076678,0.75322,1.8868,Observed values,215
TAM_06,scn,1000,4801,292.8756957,0.717029885,0.75439,1.9204,Observed values,215
TAM_06,scn,1000,4886,292.9734802,0.716955346,0.75464,1.9544,Observed values,215
TAM_06,scn,1000,4962,305.5752697,0.716380201,0.7871,1.9848,Observed values,215
TAM_06,scn,1000,5034,306.0784197,0.715810432,0.7884,2.0136,Observed values,215
TAM_06,scn,1000,5106,314.0343294,0.715198135,0.80889,2.0424,Observed values,215
TAM_06,scn,1000,5188,316.9045712,0.715134368,0.81629,2.0752,Observed values,215
TAM_06,scn,1000,5275,317.5881192,0.715483705,0.81805,2.11,Observed values,215
TAM_06,scn,1000,5362,333.4336857,0.715885604,0.85886,2.1448,Observed values,215
TAM_06,scn,1000,5458,333.5278984,0.715990792,0.85911,2.1832,Observed values,215
